SET IDENTITY_INSERT [dbo].[Article] ON
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (1, N'Laptop Dell Inspiron', CAST(799.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (2, N'Samsung Galaxy S21', CAST(999.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (3, N'Sony WH-1000XM4 Kopfhörer', CAST(349.9900 AS SmallMoney), 75, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (4, N'Apple MacBook Air', CAST(1199.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (5, N'Canon EOS R5 Kamera', CAST(3899.9900 AS SmallMoney), 10, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (6, N'Bose SoundLink Revolve', CAST(199.9900 AS SmallMoney), 100, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (7, N'Nintendo Switch', CAST(299.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (8, N'HP Envy Drucker', CAST(149.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (9, N'Fitbit Charge 5', CAST(129.9900 AS SmallMoney), 80, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (10, N'JBL Flip 5 Lautsprecher', CAST(119.9900 AS SmallMoney), 90, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (11, N'Microsoft Surface Pro 7', CAST(899.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (12, N'GoPro HERO9', CAST(399.9900 AS SmallMoney), 35, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (13, N'Dyson V11 Staubsauger', CAST(599.9900 AS SmallMoney), 15, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (14, N'Roku Streaming Stick+', CAST(49.9900 AS SmallMoney), 120, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (15, N'Kindle Paperwhite', CAST(129.9900 AS SmallMoney), 70, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (16, N'Logitech MX Master 3 Maus', CAST(99.9900 AS SmallMoney), 85, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (17, N'Apple iPad Pro', CAST(1099.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (18, N'Samsung QLED TV', CAST(1499.9900 AS SmallMoney), 10, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (19, N'Sony PlayStation 5', CAST(499.9900 AS SmallMoney), 5, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (20, N'Anker PowerCore 10000', CAST(49.9900 AS SmallMoney), 200, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (21, N'Philips Hue Smart Bulb', CAST(29.9900 AS SmallMoney), 150, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (22, N'Garmin Forerunner 945', CAST(599.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (23, N'Nest Learning Thermostat', CAST(249.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (24, N'Ring Video Doorbell', CAST(199.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (25, N'Tile Mate', CAST(24.9900 AS SmallMoney), 300, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (26, N'Apple AirPods Pro', CAST(249.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (27, N'Amazon Echo Dot', CAST(49.9900 AS SmallMoney), 100, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (28, N'Google Nest Hub', CAST(89.9900 AS SmallMoney), 70, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (29, N'Razer DeathAdder V2', CAST(69.9900 AS SmallMoney), 90, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (30, N'Corsair K95 RGB Keyboard', CAST(199.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (31, N'Asus ROG Strix Gaming Laptop', CAST(1499.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (32, N'Alienware Aurora R10', CAST(1799.9900 AS SmallMoney), 15, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (33, N'HyperX Cloud II Headset', CAST(99.9900 AS SmallMoney), 80, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (34, N'SteelSeries QcK Mousepad', CAST(14.9900 AS SmallMoney), 200, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (35, N'BenQ Zowie Gaming Monitor', CAST(399.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (36, N'Elgato Stream Deck', CAST(149.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (37, N'Blue Yeti Microphone', CAST(129.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (38, N'Logitech C920 Webcam', CAST(79.9900 AS SmallMoney), 70, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (39, N'NZXT H510 Case', CAST(69.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (40, N'Corsair RM850x PSU', CAST(129.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (41, N'AMD Ryzen 9 5900X', CAST(549.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (42, N'NVIDIA GeForce RTX 3080', CAST(699.9900 AS SmallMoney), 15, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (43, N'Intel Core i9-11900K', CAST(529.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (44, N'Samsung 970 EVO SSD', CAST(149.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (45, N'G.Skill Trident Z RAM', CAST(199.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (46, N'Cooler Master Hyper 212', CAST(39.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (47, N'MSI B550 Motherboard', CAST(179.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (48, N'Thermaltake Toughpower GF1', CAST(109.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (49, N'Seagate Barracuda HDD', CAST(59.9900 AS SmallMoney), 70, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (50, N'Kingston A2000 NVMe', CAST(89.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (51, N'Crucial MX500 SSD', CAST(99.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (52, N'Western Digital Black HDD', CAST(129.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (53, N'SanDisk Extreme Portable SSD', CAST(149.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (54, N'Razer BlackWidow Keyboard', CAST(129.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (55, N'Logitech G502 Mouse', CAST(79.9900 AS SmallMoney), 70, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (56, N'Corsair Vengeance RAM', CAST(149.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (57, N'Asus TUF Gaming Monitor', CAST(299.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (58, N'Acer Predator Helios 300', CAST(1199.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (59, N'Dell XPS 13', CAST(999.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (60, N'HP Spectre x360', CAST(1299.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (61, N'Lenovo ThinkPad X1', CAST(1399.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (62, N'Microsoft Surface Laptop 4', CAST(1299.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (63, N'Apple Mac Mini', CAST(699.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (64, N'Google Pixel 6', CAST(599.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (65, N'OnePlus 9 Pro', CAST(969.9900 AS SmallMoney), 35, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (66, N'Xiaomi Mi 11', CAST(749.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (67, N'Oppo Find X3 Pro', CAST(1099.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (68, N'Huawei P40 Pro', CAST(899.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (69, N'Sony Xperia 1 III', CAST(1199.9900 AS SmallMoney), 15, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (70, N'LG Wing', CAST(999.9900 AS SmallMoney), 10, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (71, N'Motorola Edge Plus', CAST(799.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (72, N'Nokia 8.3 5G', CAST(699.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (73, N'Asus Zenfone 8', CAST(599.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (74, N'Realme GT', CAST(499.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (75, N'Vivo X60 Pro', CAST(799.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (76, N'ZTE Axon 30 Ultra', CAST(749.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (77, N'TCL 10 Pro', CAST(449.9900 AS SmallMoney), 35, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (78, N'Alcatel 3X', CAST(199.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (79, N'Google Pixel Buds', CAST(179.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (80, N'Samsung Galaxy Buds Pro', CAST(199.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (81, N'Jabra Elite 85t', CAST(229.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (82, N'Sennheiser Momentum True Wireless 2', CAST(299.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (83, N'Bose QuietComfort Earbuds', CAST(279.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (84, N'Anker Soundcore Liberty Air 2 Pro', CAST(129.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (85, N'Sony WF-1000XM4', CAST(279.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (86, N'Apple AirPods Max', CAST(549.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (87, N'Beats Solo Pro', CAST(299.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (88, N'Marshall Major IV', CAST(149.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (89, N'Skullcandy Crusher Evo', CAST(199.9900 AS SmallMoney), 60, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (90, N'Plantronics BackBeat Go 810', CAST(149.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (91, N'AKG N700NC M2', CAST(299.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (92, N'Bang & Olufsen Beoplay H9', CAST(499.9900 AS SmallMoney), 20, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (93, N'Shure AONIC 50', CAST(399.9900 AS SmallMoney), 25, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (94, N'V-Moda Crossfade 2', CAST(349.9900 AS SmallMoney), 30, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (95, N'Audio-Technica ATH-M50xBT', CAST(199.9900 AS SmallMoney), 50, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (96, N'Sennheiser HD 450BT', CAST(179.9900 AS SmallMoney), 40, 1)
INSERT INTO [dbo].[Article] ([AId], [Name], [Price], [Stock], [IsAvailable]) VALUES (97, N'Beyerdynamic DT 770 Pro', CAST(159.9900 AS SmallMoney), 60, 1)
